venue_id,city_id,venue
23d208f7,1862415,Hiroshima Yuubin Chokin Hall
3d61d43,1850147,Nippon Budokan
4bd63b72,5097459,Continental Airlines Arena
1bd6c998,5141927,Nassau Veterans Memorial Coliseum
43d63b4b,4501018,Tweeter Center
13d635d1,4930956,Agganis Arena
53d61f39,4835797,New England Dodge Music Center
43d7df9f,2643743,Carling Apollo Hammersmith
43d61fc3,2964574,RDS Arena
63d6cecf,2639577,Little John's Farm
23d6d847,2644689,Bramham Park
63d6322b,5391710,Hyundai Pavilion
13d635d9,5308655,Cricket Pavilion
43d66bbf,5423908,Fiddler's Green Amphitheatre
23d63cf7,5251390,Alpine Valley Music Theatre
4bd61f56,4509177,Germain Amphitheater
43d63b57,4924198,Verizon Wireless Music Center
4bd62722,4913723,Tweeter Center Chicago
53d61f79,4749007,Nissan Pavilion
3bd63cf0,5182414,Post-Gazette Pavilion
7bd26aa4,4943021,Tweeter Center for the Performing Arts
7bd61e5c,2744912,Sportpark Boshoven
63d6326b,2876699,Flugplatz Roitzschjora
6bd61e52,6942479,Oslo Spektrum
13d5b519,2988507,Parc des Princes
13d01181,2514891,Huerto de la Rueda
5bd623b4,2267057,Pavilhão Atlântico
23d4acb7,2658216,Stadion Buchholz
bd625fe,3413829,Egilshollin
bd621ce,2778067,Stadthalle
1bd47524,3101619,Stadion Śląski
43d62b7f,3067696,T-Mobile Arena
13d639f5,6940394,Saitama Super Arena
23d1acdb,2128291,Hokkai-dou Kousei Nenkin Kaikan
bd6c9a6,5404794,Universal Amphitheatre
23d624df,5128581,Hammerstein Ballroom
3bd67428,3448439,Estádio do Pacaembu
63d62aeb,3451190,Claro Hall
3d605af,3037838,Le Galaxie
13d6d121,2747891,Ahoy
33d22809,2641170,National Ice Centre and Arena
3bd7f4ac,2641673,Telewest Arena
1bd6316c,3081368,Hala Stulecia
6bd61e5e,2879139,Arena Leipzig
43d623e3,2911298,Alsterdorfer Sporthalle
43d2c3ef,2796816,Brabanthal
bd5252a,2950159,Arena Berlin
2bd6c0ba,2910831,Eilenriedehalle
3bd638fc,2925533,Jahrhunderthalle
63d622cf,3117735,Palacio Vistalegre
53d50701,3129028,Pavelló Olímpic de Badalona
3bd624e4,3176959,Palasport
1bd4c550,6534466,FilaForum di Assago
5bd75fe4,3061186,Zimný štadión
73d7cae1,721472,Főnix Csarnok
3d6d1d3,2643743,Top of the Pops
53d6c301,5339111,Chronicle Pavilion
43d637ab,5391811,San Diego Sports Arena
bd63982,5367929,Long Beach Arena
5bd627f0,4684888,Smirnoff Music Centre
3d62d9f,5143198,Tommy Hilfiger at Jones Beach Theater
13d2f57d,4835797,ctnow.com Meadows Music Theatre
33d71869,4956184,Worcester's Centrum Centre
5bd777c0,2509491,Auditorio Municipal
43d00f2f,2516326,IFECA Jerez
73d0567d,8533399,Forum Fribourg
7bd79648,2759103,Festivalterrein Zomerweg
2bd7b83a,3061369,Zimní stadion Ludka Cajky
1bd6cd24,3188244,Radnik Stadion
5bd4a39c,3110044,Donosti Arena
43d54fe3,3117735,Plaza de Toros de Las Ventas
3d2452f,2761369,Wiener Stadthalle - Halle D
73d60acd,2861650,Frankenstadion
5bd6236c,3054638,Kisstadion
5bd61f98,3096473,Spodek
53d47781,2972328,Zénith Oméga
3d6d93f,2972315,Le Zénith
33d440b5,3121424,Palacio de Deportes de La Guía
3d00d17,3119841,Coliseum da Coruña
3bd6d4d4,2643743,Brixton Academy
73d6cac1,2643743,Shepherd's Bush Empire
73d7e2ad,264371,Agios Kosmas
7bd62238,2928810,Grugahalle
4bd73f56,1850147,Zepp Tokyo
5bd2cfdc,1856057,Nagoya-shi Koukaidou
7bd296bc,1863967,Fukuoka Sunpalace
33d63c95,1853909,Zepp Osaka
1bd221e4,1850147,Tokyo Kousei Nenkin Kaikan
23d7b853,2111149,Sun Plaza Hall
1bd62508,5506956,Aladdin Theater
73d3a2f9,5325738,Centennial Garden and Convention Center
3d28187,5359777,Irvine Meadows Amphitheatre
43d6c3e3,5308655,Blockbuster Desert Sky Pavilion
3d26dfb,5454711,Mesa del Sol Amphitheater
2bd6d096,4726206,Sunken Gardens Theater
7bd63674,5431916,Red Rocks Amphitheatre
23d2c493,5417598,Colorado Springs World Arena
2bd63802,5045360,Roy Wilkins Auditorium
7bd62658,4887398,UIC Pavilion
6bd63eae,4268521,Sandstone Amphitheater
53d637cd,4397340,Riverport Amphitheatre
3d6c953,4988998,Pine Knob Music Theatre
73d6cab1,5211303,Coors Light Amphitheatre at Montage Mountain
73d6c2c5,4501018,Blockbuster-Sony Music Entertainment Centre
7bd626cc,4975802,Cumberland County Civic Center
6bd63ed2,4835797,Meadows Music Theater
4bd63f32,6077243,Centre Molson
4bd5b386,2514868,Polideportivo Municipal
53d7bfed,3110044,Velódromo de Anoeta
73d486fd,2741672,Vilar de Mouros
43d6231f,2873891,Maimarkthalle
3bd6c498,2867714,Zenith
43d62b1f,2761369,Libro Music Hall
4bd52322,588409,Tallinna Lauluväljak
5bd6cfac,633679,Ruissalo
bd4d986,756135,Hala Torwar
1bd57504,2980294,Palais des Spectacles
4bd60f2a,3172629,Stadio Brianteo
3d6116f,3199017,Stadium
23d760e7,3061186,Amfiteáter
33d63c25,3067696,Paegas Arena
43d67bff,2973783,Parc du Rhin
4bd64b8a,264371,Peristeri Arena
1bd635f8,3118594,La Cubierta
2bd61c6a,658225,Jäähalli
7bd6c2c0,4684888,Bronco Bowl
3d6250f,5520993,El Paso County Coliseum
4bd61ff2,5368361,Greek Theatre
13d6398d,4887398,Aragon Ballroom
4bd62b16,5263045,Eagles Ballroom
3bd6287c,5150529,Nautica Stage
5bd62b10,6167865,Massey Hall
13d63981,4930956,Orpheum Theatre
3d01523,6325494,Agora du Vieux-Port
1bd639ac,6138517,Harbour Station
53d5171d,3448439,Estacionamento do Anhembi
6bd61a5e,3451190,Metropolitan
63d2d26b,1850147,Nakano Sunplaza
5bd2afac,1853909,Matsushita IMP Hall
1bd085e8,1856057,Club Diamond Hall
53d2cf55,1850147,Shibuya Koukaidou
6bd5c606,2639996,Portsmouth Guildhall
23d6388b,2638077,Sheffield City Hall
43d61feb,2641596,Newport Centre
23d28c57,2633691,Civic Hall
33d6cc59,2641170,Royal Concert Hall
43d5fbef,2648579,Barrowland
73d6cec5,2641673,Newcastle City Hall
7bd63a80,2643123,Manchester Apollo
2bd6d88e,3024635,Maison des Sports
bd78d12,2988358,Le Zénith
63d4e25f,6454924,Théâtre de Verdure
3d78d13,2518794,Campo de Fútbol
43d4d79b,2522258,Plaza de Toros de Albacete
bd61166,3104324,Pabellón Príncipe Felipe
2bd3288a,2968254,Le Transbordeur
33d44881,3033123,Palais des Sports
6bd62a52,2991214,Le Phoenix
3bd638e0,7287592,Eulachhalle
3d665db,6559110,Stadthalle
6bd4a29a,2911522,Easy Schorre
4bd63736,2950159,Columbiahalle
3bd7b0dc,2673730,Hovet
13d63905,2618425,Vega
bd63d8e,2929670,Thüringenhalle
13d27129,2923544,Stadthalle
7bd6c228,2867714,Colosseum
73d7fe49,3067696,Malá Sportovní Hala
1bd6d598,3054638,E-Klub
3d3c9bf,745042,Harbiye Cemil Topuzlu Açıkhava Tiyatrosu
5bd7abfc,734077,Theatro Dasous
1bd62118,264371,Lycabettus Theatre
4bd62b32,11414139,Auditorio Coca-Cola
5bd423a4,5391811,"SDSU Open Air Theatre, San Diego State University"
3d61dbb,5506956,The Joint at Hard Rock Hotel
73d62a25,5308655,Celebrity Theatre
3d3f5c7,4684888,Coca-Cola Starplex Amphitheatre
1bd78d24,4726290,The Road House
43d59b67,5128581,Roseland Ballroom
7bd7162c,6077243,Stade duMaurier
1bd63914,4997787,Wings Stadium
23d6c41f,5969785,Copps Coliseum
1bd629a4,4509177,Brewery District Pavilion
1bd4652c,4887398,Riviera Theatre
5bd303ac,2563232,Greek Theatre
33d648b1,2992166,Zénith Sud
6bd77a2e,2509954,Velódromo Luis Puig
1bd64d18,3106672,Plaza de Toros
4bd00f3e,6359872,Pavillón dos Remedios
63d6ce87,2269594,Pavilhão do Grupo Dramático e Sportivo de Cascais
3bd61c20,3117735,Palacio de Deportes de la Comunidad de Madrid
4bd6c356,3128760,Pavelló de la Vall d’Hebron
7bd63aa8,2988507,Le Zénith
13d6359d,2934246,Philipshalle
bd6217e,2910831,Music Hall
63d236b3,2947444,Sporthalle
3d075e3,3165185,Palasport di Chiarbola
4bd527c6,3173435,PalaVobis
3d33dbf,3169070,Palazzo dello Sport
73d78689,3171173,BPA Palas
7bd71ac8,3176219,Palazzo dello Sport
4bd44b8e,2994951,Zénith de Nancy
3bd65cc4,2998324,Zénith Aréna
5bd437c8,2641181,The Oval Rock House
1bd6c1e4,2673730,SVT Studios
bd609f2,3435910,Estadio Obras Sanitarias
43d6237b,3871336,Teatro Monumental
13d78de1,3464975,Estádio Couto Pereira
1bd5e1cc,3022071,Free Wheels Grounds
3bd26478,3024297,Théâtre de Plein Air
23d4e827,3122157,Pabellón Sotet
3bd01020,2509491,Estadio de Fútbol Nuestra Señora de la Caridad
6bd6d632,2520611,Estadio Príncipe Felipe
bd755da,2614790,Dyrskuepladsen
23d4bc63,2799511,Crossterrein Witte Berg
1bd65588,653627,Nummijärvi
43d37f37,1850147,Kan-i Hoken Hall
3d2cd57,1853909,Osaka Kousei Nenkin Kaikan
63d66e3b,1863967,Skala Espacio
33d63c41,1856057,Aichi-ken Kinrou Kaikan
6bd6d2e2,5368361,The Palace
3bd6c0dc,5809844,Off Ramp Cafe
2bd61c8e,5777793,Saltair
6bd63666,5419384,Ogden Theatre
63d7aa8f,5454711,Midnight Rodeo
63d3ee73,5525577,The Depot Warehouse
13d625a9,4684888,Deep Ellum Live
1bd645bc,4726206,Sneakers
bd645b2,4699066,The Millenium
53d6db65,4641239,Club 616
6bd73e02,4167102,Shades
2bd6c4f6,4155966,The Edge
bd35992,4167147,Embassy
2bd7c84e,4180439,The Masquerade
73d62219,4407066,Mississippi Nights
4bd62b96,5037649,The Mirage
1bd639bc,5263045,The Rave
1bd63da8,4887398,Vic Theatre
5bd6cfb8,4920423,Piere's Entertainment Center
73d62a09,4508722,Annie's
73d5968d,5150529,The Odeon
13d63d39,4990729,Harpo's
53d533bd,5206379,Metropol
5bde97f8,5192726,Metron
73d62a6d,5102162,Birch Hill Nite Club
23d6c0ff,4347778,Hammerjacks
43d61f23,4560349,Electric Factory
2bd6c416,5128581,The Academy
23d63877,5224151,Lupo's Heartbreak Hotel
6bd6d26a,4930956,Avalon
7bd77204,6167865,RPM Club
23d440c7,6077243,Auditorium de Verdun
13d6c159,6325494,Pavillon de la Jeunesse
3bd634d8,2641170,Rock City
53d20fa5,2964574,SFX Hall
63d652a7,2655984,Maysfield Leisure Centre
2bd5d44a,2992292,Centre Athanor
1bd63580,3196359,Hala Tivoli
33d6649d,3172681,Palageorge
73d57241,3171180,PalaEvangelisti
1bd58d04,3172394,Teatro Palapartenope
2bd57086,2525790,PalaTupparello
73d622f9,2743477,IJsselhallen
73d63abd,2886242,E-Werk
4bd63f2e,2864820,Hugenottenhalle
6bd63ac2,2825297,Messe Congress Centrum B
23d634d3,2867714,Terminal 1 Flughafen München
2bd624da,2950159,Huxley's Neue Welt
4bd61f6a,2911298,Docks
1bd61dd0,2944388,Aladin
3bd61c60,2879139,Haus Auensee
13d635b1,2910831,Capitol
43d63f13,2657896,Volkshaus
3bd274e0,3209505,Salle des Fêtes
13d395a9,3181913,PalaOnda
73d62a79,3170147,Palasport
5bd527e4,3173435,PalaTrussardi
73d6ce8d,3173331,Palasport
6bd526ca,3165524,PalaStampa
53d413b9,2517117,Pabellón Ifagra
13d76d2d,3117735,Pabellón de la Ciudad Deportiva del Real Madrid
43d4f3db,3114472,Pabellón Anaitasuna
2bd6c04e,2949186,PC69
5bd6d790,2799746,Brielpoort
53d54361,2644689,Town and Country Club
53d62399,2618425,KB Hallen
63d796df,2711537,Kåren
33d63461,6942479,Sentrum Scene
3bd7f0f4,2673730,Cirkus
bd61dde,658225,Kulttuuritalo
23d7908b,3067696,Prumyslovy Palac
4bd75fda,3056508,Športová hala Bôrik
7bd4f60c,3054638,Petőfi Csarnok
23d1bce7,683506,Sala Polivalentă
33d634f9,727011,Hristo Botev Hall
3d78d03,734077,Ivanofio
3d6117b,3369157,Good Hope Centre
43d37f2b,1007311,Village Green Casino
6bd61686,993800,Standard Bank Arena
2bd054b2,293397,Tel Aviv Cinerama
13d78d0d,294801,The End
6bd58a22,281184,Sing Sing
7bd206b4,7290170,Pinewood Studios
2bd6d426,2659496,Patinoire du Littoral
7bd626e4,2655984,King's Hall
bd6118e,2643123,G-MEX Centre
13d6d901,2643743,Wembley Arena
bd61d7e,3014728,Le Summum
bd61976,6534466,Forum di Assago
3d78dd7,2523679,Palasport
13d61dc5,3169070,Piazza San Giovanni in Laterano
73d51e71,3173914,Palaghiaccio di Marino
1bd78dd0,6535597,Campo Sportivo
1bd52158,3165524,PalaRuffini
5bd53704,3031005,Chapiteau
43d637e3,2954172,Schwabenhalle
5bd637fc,2842647,Saarlandhalle
5bd6c720,2944388,Stadthalle
bd6c112,2805615,Carl-Diem-Halle
4bd6377e,2988507,Élysée Montmartre
73d6c609,2759661,Rijnhal
33d7d4e5,3060972,Zimny Stadion Ondreja Nepelu
23d7b83b,3068799,Palác kultury a sportu
33d01491,3128760,Sala Zeleste
13d3d5ed,3110044,Polideportivo Municipal José Antonio Gasca
1bd6310c,3117735,Sala Canciller
13d78de5,2268339,Kadoc
4bd60f76,1850147,Yoyogi Daiichi Taiikukan
bd5618e,1848354,Yokohama Bunka Taiikukan
63d6c207,1853909,Festival Hall
7bd21e80,1865387,Amagasaki-shi Sougou Bunka Center
3bd11464,1862415,Hiroshima Kousei Nenkin Kaikan
3bd22060,1859307,Kyuushuu Kousei Nenkin Kaikan
6bd6c292,1856057,Rainbow Hall
73d63e0d,2147714,Hordern Pavilion
7bd62afc,2158177,Festival Hall
7bd62644,2193733,Logan Campbell Centre
63d63a1f,3646738,Poliedro de Caracas
7bd7664c,4005539,Estadio Tecnológico Universidad de Guadalajara
63d30297,4562832,Juan Ramón Loubriel Stadium
1bd495ac,3104324,Carpa de la Chimenea
63d72e0f,3128760,Plaza de Toros Monumental
43d05f9f,3169522,Arena Campovolo
63d3c6af,3032833,Arènes de Béziers
43d59f27,3037542,Hall des Expositions
13d7111d,2991214,Palais des Sports
2bd720c2,2988507,Grande Halle de la Villette
bd0512e,2659136,CIG de Malley
13d22139,2798139,Vorst Nationaal / Forest National
4bd6c76e,2873891,Maimarktgelände
3d6c14f,3451190,Ginásio do Maracanãzinho
6bd4cea2,3441575,Estación Central General Artigas
73d40e79,3435910,Hacelo por Mí
33d3fcad,4174403,Sunrise Musical Theater
5bd62718,4602814,Starwood Amphitheatre
43d6276f,4460243,Blockbuster Pavilion
7bd62e9c,4180439,Coca-Cola Lakewood Amphitheatre
13d629b9,4726206,Freeman Coliseum
4bd6c752,5289282,Compton Terrace
6bd626d2,5341430,Cow Palace
43d6c35f,5389489,Cal Expo Amphitheatre
6bd6c2de,5780993,Salt Palace
3d6c9cf,5045360,St. Paul Civic Center
63d6d23f,4913723,World Music Theatre
13d795e9,6167865,C.N.E. Coliseum
bd3a18e,6077243,Forum de Montréal
5bd4f73c,6094817,Coliseum Building
63d62a87,6325494,Colisée de Québec
2bd6283a,5134086,Rochester Community War Memorial
63d29e9b,5128581,The Ritz
7bd63e04,3413829,Laugardalshöll
33d72481,3004837,Circuit Paul Ricard
43d62f03,7287592,Steinberggasse
53d6c391,2661552,Festhalle
53d63f59,1850147,NHK Hall
73d06231,10981738,Oomiya Sonic City
13d6c9d9,5325738,Bakersfield Civic Auditorium
53d61fc5,5389489,ARCO Arena
33d6d415,5809844,Seattle Center Arena
3d62ddf,5750162,Salem Armory Auditorium
43d6d79f,5946768,Northlands AgriCom Hall D
1bd625d8,6141256,Saskatchewan Place
53d6d399,6183235,Winnipeg Arena
63d626d3,4908179,Rosemont Horizon
1bd63540,4407066,The Fabulous Fox Theatre
3d62113,5037649,Target Center
5bd62348,4393217,Kemper Arena
63d63e2f,5419384,McNichols Sports Arena
3d61d5b,5454711,Tingley Coliseum
3bd3e48c,4726206,HemisFair Arena
3d625e3,4684888,Fair Park Coliseum
33d56491,4699066,The Summit
bd6c11e,4508722,Cincinnati Gardens
73d62601,5168025,Richfield Coliseum
4bd6c306,4801859,Charleston Civic Center
2bd634d2,4758023,Patriot Center
43d33fbf,5206379,A.J. Palumbo Center
5bd333c0,4560349,Spectrum
3d731f3,4839366,New Haven Veterans Memorial Coliseum
1bd6c9bc,5224151,Providence Civic Center
6bd2fa72,4956184,Centrum in Worcester
53d6d7ad,5106834,Knickerbocker Arena
73d626dd,5097459,Brendan Byrne Arena
53d63f05,6167865,Maple Leaf Gardens
73d4e2b9,6324729,Halifax Metro Centre
63d6c29f,2797670,Limburghal
13d34d4d,2634032,Whitley Bay Ice Rink
63d21297,2650225,Royal Highland Exhibition Hall
7bd62648,2867714,Rudi-Sedlmayer-Halle
1bd65d88,3165201,Palasport
23d6d4ff,2950159,Deutschlandhalle
53d6cbb1,3159016,Drammenshallen
73d6c295,2751773,Groenoordhallen
13d6c105,3128760,Palau dels Esports
13d6059d,2643743,Hammersmith Odeon
3bd6d414,2647525,Victoria Hall
1bd62d48,2640101,Poole Arts Centre
33d34c0d,2640681,Torbay Leisure Centre
23d6c8cb,2651347,Assembly Rooms
33d5f06d,2653942,Cambridge Corn Exchange
3d6cdaf,2645425,Hull City Hall
4bd63f0e,2644210,Royal Court Theatre
53d6cbb5,2644668,De Montfort Hall
63d406f3,2639913,Preston Guild Hall
7bd21628,2656708,Ayr Pavilion
6bd6260a,2657832,Capitol Theatre
2bd424b2,2650225,Edinburgh Playhouse
5bd617b8,2640729,Apollo
63d4c257,2637487,Mayflower Theatre
1bd6c980,2642465,Woughton Centre
13d67d85,2673730,Johanneshov Isstadion
5bd6cb54,3117735,Casa de Campo
5bd4d7a0,3114472,Plaza de Toros de Pamplona
